,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hilo,US,81.1,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Gizo,SB,83.52,overcast clouds,-8.103,156.8419,Imagination Island
6,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
7,Rikitea,PF,74.84,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Chuy,UY,67.12,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
13,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
16,Vallenar,CL,75.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
17,Yenagoa,NG,75.94,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
18,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
19,Fort-De-France,MQ,80.55,few clouds,14.6089,-61.0733,Patio Gallieni
21,Hithadhoo,MV,80.28,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
25,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
27,Rocha,UY,66.78,light rain,-34.4833,-54.3333,Hotel Arrarte
28,Gat,IL,72.39,clear sky,31.61,34.7642,OlusHome
30,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Butaritari,KI,79.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
35,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
40,Flinders,AU,71.06,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
41,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
44,Timbiras,BR,79.74,scattered clouds,-4.2553,-43.9406,Timbiras Palmeirais Hotel
45,Castro,BR,65.01,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
48,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
49,Bubaque,GW,83.12,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
51,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
57,Samarai,PG,82.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
59,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
61,Lompoc,US,66.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
62,Bandarbeyla,SO,78.26,clear sky,9.4942,50.8122,JABIR HOTEL
64,Pathein,MM,71.89,overcast clouds,16.7833,94.7333,Pathein Hotel
68,Carnarvon,AU,66.9,clear sky,-24.8667,113.6333,Hospitality Carnarvon
69,Ribeira Grande,PT,65.77,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
71,Kikwit,CD,70.02,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
75,Mossendjo,CG,69.98,light rain,-2.9506,12.7261,HOTEL D'ASSISE
