,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,55.06,71,100,18.84,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,58.17,90,3,10.8,clear sky
2,Sainte-Maxime,FR,43.3,6.6333,59.0,69,21,15.52,few clouds
3,Rezekne,LV,56.5,27.3167,36.5,94,53,4.47,broken clouds
4,Hilo,US,19.7297,-155.09,81.1,68,75,11.5,broken clouds
5,Gizo,SB,-8.103,156.8419,83.52,72,100,6.38,overcast clouds
6,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,0.0,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,74.84,88,90,17.78,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,60.91,39,75,10.36,broken clouds
9,Chuy,UY,-33.6971,-53.4616,67.12,95,100,12.91,moderate rain
10,Torbay,CA,47.6666,-52.7314,36.75,87,75,4.61,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,53.8,85,10,6.38,clear sky
12,Cape Town,ZA,-33.9258,18.4232,63.12,74,0,9.22,clear sky
13,Kloulklubed,PW,7.0419,134.2556,75.7,78,100,13.89,overcast clouds
14,Husavik,IS,66.0449,-17.3389,41.68,99,100,10.33,overcast clouds
15,Ostrovnoy,RU,68.0531,39.5131,32.41,77,100,10.33,overcast clouds
16,Vallenar,CL,-28.5708,-70.7581,75.96,24,0,7.09,clear sky
17,Yenagoa,NG,4.9247,6.2642,75.94,92,53,4.9,broken clouds
18,Salalah,OM,17.0151,54.0924,78.89,73,0,4.61,clear sky
19,Fort-De-France,MQ,14.6089,-61.0733,80.55,83,20,9.22,few clouds
20,Bredasdorp,ZA,-34.5322,20.0403,57.99,85,0,1.25,clear sky
21,Hithadhoo,MV,-0.6,73.0833,80.28,79,100,13.94,overcast clouds
22,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,89,96,14.63,overcast clouds
23,Swansea,GB,51.6208,-3.9432,58.15,89,99,10.0,overcast clouds
24,Chokurdakh,RU,70.6333,147.9167,-27.51,99,93,6.06,overcast clouds
25,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,4.61,scattered clouds
26,Herat,AF,34.5,62.0,41.99,71,0,2.35,clear sky
27,Rocha,UY,-34.4833,-54.3333,66.78,96,100,9.73,light rain
28,Gat,IL,31.61,34.7642,72.39,60,0,2.59,clear sky
29,Albany,US,42.6001,-73.9662,43.39,70,47,12.03,scattered clouds
30,Kapaa,US,22.0752,-159.319,80.92,75,75,17.27,broken clouds
31,Bluff,NZ,-46.6,168.3333,58.8,71,19,5.03,few clouds
32,Thompson,CA,55.7435,-97.8558,15.96,79,40,4.61,scattered clouds
33,Qaanaaq,GL,77.484,-69.3632,1.87,96,100,5.5,overcast clouds
34,Butaritari,KI,3.0707,172.7902,79.95,75,100,13.94,overcast clouds
35,Mount Isa,AU,-20.7333,139.5,74.97,94,100,3.44,overcast clouds
36,Kutum,SD,14.2,24.6667,64.96,25,0,9.93,clear sky
37,Sitka,US,57.0531,-135.33,48.09,87,100,12.66,mist
38,Saskylakh,RU,71.9167,114.0833,-6.5,94,100,11.68,overcast clouds
39,Onega,RU,63.9061,38.1404,31.44,82,14,11.1,few clouds
40,Flinders,AU,-34.5833,150.8552,71.06,68,48,5.99,scattered clouds
41,Vaini,TO,-21.2,-175.2,75.2,89,100,23.55,light rain
42,Koraput,IN,18.8167,82.7167,58.23,88,0,3.09,clear sky
43,New Norfolk,AU,-42.7826,147.0587,54.91,90,100,1.45,moderate rain
44,Timbiras,BR,-4.2553,-43.9406,79.74,73,39,2.08,scattered clouds
45,Castro,BR,-24.7911,-50.0119,65.01,90,81,1.66,broken clouds
46,Champerico,GT,14.3,-91.9167,86.54,73,24,6.13,few clouds
47,Ushuaia,AR,-54.8,-68.3,60.46,39,20,13.8,few clouds
48,Lorengau,PG,-2.0226,147.2712,82.18,80,97,9.37,overcast clouds
49,Bubaque,GW,11.2833,-15.8333,83.12,63,12,10.0,few clouds
50,Dunedin,NZ,-45.8742,170.5036,52.81,80,100,7.0,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,71.19,87,92,11.43,light rain
52,Penzance,GB,50.1186,-5.5371,59.68,92,71,23.15,light rain
53,Aklavik,CA,68.2191,-135.0107,4.05,92,59,2.98,broken clouds
54,Faya,SA,18.3851,42.4509,59.11,65,1,2.95,clear sky
55,Kabanjahe,ID,3.1001,98.4908,62.87,96,100,2.19,overcast clouds
56,Fukue,JP,32.6881,128.8419,63.39,70,95,20.27,overcast clouds
57,Samarai,PG,-10.6167,150.6667,82.74,75,100,6.51,overcast clouds
58,Hay River,CA,60.8156,-115.7999,33.78,64,20,6.91,few clouds
59,Atuona,PF,-9.8,-139.0333,78.13,74,4,18.97,clear sky
60,Laguna,US,38.421,-121.4238,64.29,33,0,13.8,clear sky
61,Lompoc,US,34.6391,-120.4579,66.85,46,0,16.11,clear sky
62,Bandarbeyla,SO,9.4942,50.8122,78.26,70,7,14.94,clear sky
63,Adrar,MR,20.5022,-10.0711,74.48,13,9,10.54,clear sky
64,Pathein,MM,16.7833,94.7333,71.89,88,93,5.28,overcast clouds
65,Sosnogorsk,RU,63.6023,53.8817,14.74,94,100,11.05,light snow
66,Hamilton,US,39.1834,-84.5333,38.44,69,100,4.61,overcast clouds
67,Salzwedel,DE,52.85,11.15,45.01,87,61,9.42,broken clouds
68,Carnarvon,AU,-24.8667,113.6333,66.9,56,0,14.05,clear sky
69,Ribeira Grande,PT,38.5167,-28.7,65.77,77,40,17.27,scattered clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,100,8.05,overcast clouds
71,Kikwit,CD,-5.041,18.8162,70.02,97,59,2.01,broken clouds
72,Jamestown,US,42.097,-79.2353,34.72,78,100,9.22,light snow
73,Christchurch,NZ,-43.5333,172.6333,64.42,76,100,11.5,overcast clouds
74,Leningradskiy,RU,69.3833,178.4167,-12.59,98,93,5.48,overcast clouds
75,Mossendjo,CG,-2.9506,12.7261,69.98,99,100,2.51,light rain
76,Guerrero Negro,MX,27.9769,-114.0611,66.7,54,2,17.49,clear sky
